module	toolkit	package	header	kind	deprecated	bucket	rule	usage
DataExchange	TKDESTEP	APIHeaderSection	APIHeaderSection_EditHeader	class	0	keep		0
DataExchange	TKDESTEP	APIHeaderSection	APIHeaderSection_MakeHeader	class	0	keep		3
DataExchange	TKDEIGES	BRepToIGES	BRepToIGES_BREntity	class	0	keep		0
DataExchange	TKDEIGES	BRepToIGES	BRepToIGES_BRShell	class	0	keep		0
DataExchange	TKDEIGES	BRepToIGES	BRepToIGES_BRSolid	class	0	keep		0
DataExchange	TKDEIGES	BRepToIGES	BRepToIGES_BRWire	class	0	keep		0
DataExchange	TKDEIGES	BRepToIGESBRep	BRepToIGESBRep_Entity	class	0	keep		0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_AssemblyItemRefDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_CentroidDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_ColorDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_DatumDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_DimTolDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_GraphNodeDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_LengthUnitDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_LocationDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_MaterialDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_NoteBinDataDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_NoteCommentDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_NoteDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_VisMaterialDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinMXCAFDoc	BinMXCAFDoc_VisMaterialToolDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinXCAFDrivers	BinXCAFDrivers	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinXCAFDrivers	BinXCAFDrivers_DocumentRetrievalDriver	class	0	drop	R5	0
DataExchange	TKBinXCAF	BinXCAFDrivers	BinXCAFDrivers_DocumentStorageDriver	class	0	drop	R5	0
DataExchange	TKDE	DE	DE_ConfigurationContext	class	0	keep		0
DataExchange	TKDE	DE	DE_ConfigurationNode	class	0	keep		0
DataExchange	TKDE	DE	DE_PluginHolder	class	0	keep		0
DataExchange	TKDE	DE	DE_Provider	class	0	keep		0
DataExchange	TKDE	DE	DE_Wrapper	class	0	keep		0
DataExchange	TKDECascade	DEBRepCascade	DEBRepCascade_ConfigurationNode	class	0	keep		0
DataExchange	TKDECascade	DEBRepCascade	DEBRepCascade_Provider	class	0	keep		0
DataExchange	TKDECascade	DEXCAFCascade	DEXCAFCascade_ConfigurationNode	class	0	keep		0
DataExchange	TKDECascade	DEXCAFCascade	DEXCAFCascade_Provider	class	0	keep		0
DataExchange	TKDEIGES	Geom2dToIGES	Geom2dToIGES_Geom2dCurve	class	0	keep		0
DataExchange	TKDEIGES	Geom2dToIGES	Geom2dToIGES_Geom2dEntity	class	0	keep		0
DataExchange	TKDEIGES	Geom2dToIGES	Geom2dToIGES_Geom2dPoint	class	0	keep		0
DataExchange	TKDEIGES	Geom2dToIGES	Geom2dToIGES_Geom2dVector	class	0	keep		0
DataExchange	TKDEIGES	GeomToIGES	GeomToIGES_GeomCurve	class	0	keep		0
DataExchange	TKDEIGES	GeomToIGES	GeomToIGES_GeomEntity	class	0	keep		0
DataExchange	TKDEIGES	GeomToIGES	GeomToIGES_GeomPoint	class	0	keep		0
DataExchange	TKDEIGES	GeomToIGES	GeomToIGES_GeomSurface	class	0	keep		0
DataExchange	TKDEIGES	GeomToIGES	GeomToIGES_GeomVector	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeAxis1Placement	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeAxis2Placement2d	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeAxis2Placement3d	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeBSplineCurveWithKnots	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeBSplineCurveWithKnotsAndRationalBSplineCurve	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeBSplineSurfaceWithKnots	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeBSplineSurfaceWithKnotsAndRationalBSplineSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeBoundedCurve	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeBoundedSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeCartesianPoint	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeCircle	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeConic	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeConicalSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeCurve	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeCylindricalSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeDirection	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeElementarySurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeEllipse	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeHyperbola	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeLine	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeParabola	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakePlane	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakePolyline	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeRectangularTrimmedSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeSphericalSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeSurfaceOfLinearExtrusion	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeSurfaceOfRevolution	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeSweptSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeToroidalSurface	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_MakeVector	class	0	keep		0
DataExchange	TKDESTEP	GeomToStep	GeomToStep_Root	class	0	keep		0
DataExchange	TKDESTEP	HeaderSection	HeaderSection	class	0	keep		0
DataExchange	TKDESTEP	HeaderSection	HeaderSection_FileDescription	class	0	keep		0
DataExchange	TKDESTEP	HeaderSection	HeaderSection_FileName	class	0	keep		0
DataExchange	TKDESTEP	HeaderSection	HeaderSection_FileSchema	class	0	keep		0
DataExchange	TKDESTEP	HeaderSection	HeaderSection_Protocol	class	0	keep		0
DataExchange	TKXSBase	IFGraph	IFGraph_AllConnected	class	0	keep		0
